"Package","DependsPageRank","SuggestsPageRank","ImportsPageRank","Date"
"BMN",0.000152996973309611,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"bnlearn",0.000152996973309609,0.000141029913168328,0.000315696006531482,"2009-11-19"
"boa",0.000152996973309611,5.80029052305116e-05,0.000462937655291067,"2009-11-19"
"boolean",0.000152996973309609,8.60847138265342e-05,0.000315696006531483,"2009-11-19"
"boot",0.00406397908966603,0.000113696895014212,0.00289242485982417,"2009-11-19"
"BootPR",0.000152996973309609,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"bootRes",0.000152996973309608,6.71211345206721e-05,0.000315696006531482,"2009-11-19"
"bootspecdens",0.000152996973309611,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"bootStepAIC",0.000152996973309609,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"bootstrap",0.000187579615735560,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"bpca",0.000152996973309607,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"BPHO",0.000152996973309611,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"bqtl",0.000152996973309611,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"BradleyTerry",0.000152996973309611,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"brainwaver",0.000152996973309609,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"brglm",0.000152996973309609,0.000118119720061835,0.00134638754784856,"2009-11-19"
"Brobdingnag",0.000319744574982714,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"bs",0.000152996973309608,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"BSagri",0.000152996973309599,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"BSDA",0.000152996973309611,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"BsMD",0.000220117507685123,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"bvpSolve",0.000152996973309608,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"ca",0.000213516597555025,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"CADFtest",0.000152996973309607,6.65343369730616e-05,0.000315696006531482,"2009-11-19"
"CADStat",0.000152996973309598,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"caGUI",0.000152996973309607,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"Cairo",0.000187579615735562,0.0262513815455859,0.000315696006531482,"2009-11-19"
"cairoDevice",0.000342223292559585,5.80029052305115e-05,0.000315696006531482,"2009-11-19"
"CalciOMatic",0.000152996973309611,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"calib",0.000152996973309607,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"calibrate",0.000152996973309611,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"calibrator",0.000326128361257833,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"caMassClass",0.000152996973309600,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"candisc",0.000152996973309607,7.61447018502516e-05,0.000315696006531482,"2009-11-19"
"canvas",0.000152996973309611,5.80029052305116e-05,0.000315696006531482,"2009-11-19"
"car",0.00140987388808377,0.000210624351743986,0.000634719578843916,"2009-11-19"
